Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=1980 | loss=4.6276 | lr=4.26e-04 | tok/s=511638 | 128ms/step | elapsed 4.8m | time left 5.2m
step=1990 | loss=4.5775 | lr=4.25e-04 | tok/s=661816 | 99ms/step | elapsed 4.8m | time left 5.2m
step=2000 | loss=4.6255 | lr=4.23e-04 | tok/s=407756 | 161ms/step | elapsed 4.8m | time left 5.2m
step=2010 | loss=4.5446 | lr=4.22e-04 | tok/s=508522 | 129ms/step | elapsed 4.8m | time left 5.2m
step=2020 | loss=4.4903 | lr=4.20e-04 | tok/s=543304 | 121ms/step | elapsed 4.8m | time left 5.2m
step=2030 | loss=4.5774 | lr=4.18e-04 | tok/s=516312 | 127ms/step | elapsed 4.9m | time left 5.1m
step=2040 | loss=4.6956 | lr=4.17e-04 | tok/s=484769 | 135ms/step | elapsed 4.9m | time left 5.1m
step=2050 | loss=4.7629 | lr=4.15e-04 | tok/s=540759 | 121ms/step | elapsed 4.9m | time left 5.1m
step=2060 | loss=4.4957 | lr=4.13e-04 | tok/s=572524 | 114ms/step | elapsed 4.9m | time left 5.1m
step=2070 | loss=4.5487 | lr=4.12e-04 | tok/s=533675 | 123ms/step | elapsed 4.9m | time left 5.1m
step=2080 | loss=4.5400 | lr=4.10e-04 | tok/s=545044 | 120ms/step | elapsed 5.0m | time left 5.0m
step=2090 | loss=4.6452 | lr=4.08e-04 | tok/s=546687 | 120ms/step | elapsed 5.0m | time left 5.0m
step=2100 | loss=4.6261 | lr=4.07e-04 | tok/s=481717 | 136ms/step | elapsed 5.0m | time left 5.0m
step=2110 | loss=4.6374 | lr=4.05e-04 | tok/s=507655 | 129ms/step | elapsed 5.0m | time left 5.0m
step=2120 | loss=4.6256 | lr=4.03e-04 | tok/s=499545 | 131ms/step | elapsed 5.1m | time left 4.9m
step=2130 | loss=4.6087 | lr=4.02e-04 | tok/s=589349 | 111ms/step | elapsed 5.1m | time left 4.9m
